Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg
FLASH_CNT ,0,0,2,0,1,16,1,0,FALSE,0,none,FALSE
X_GYRO_OUT ,0,4,2,0,0.05,14,TRUE,FALSE,TRUE,0,none,FALSE
Y_GYRO_OUT ,0,6,2,0,0.05,14,TRUE,FALSE,TRUE,0,none,FALSE
Z_GYRO_OUT ,0,8,2,0,0.05,14,TRUE,FALSE,TRUE,0,none,FALSE
X_ACCL_OUT ,0,10,2,0,0.001,14,TRUE,FALSE,TRUE,0,none,FALSE
Y_ACCL_OUT ,0,12,2,0,0.001,14,TRUE,FALSE,TRUE,0,none,FALSE
Z_ACCL_OUT ,0,14,2,0,0.001,14,TRUE,FALSE,TRUE,0,none,FALSE
TEMP_OUT ,0,16,2,-25,6.78E-02,12,TRUE,FALSE,TRUE,0,none,FALSE
XGYRO_OFF ,0,26,2,0,0.0125,13,TRUE,TRUE,TRUE,0,0,FALSE
YGYRO_OFF ,0,28,2,0,0.0125,13,TRUE,TRUE,TRUE,0,0,FALSE
ZGYRO_OFF ,0,30,2,0,0.0125,13,TRUE,TRUE,TRUE,0,0,FALSE
XACCL_OFF ,0,32,2,0,0.001,12,TRUE,TRUE,TRUE,0,0,FALSE
YACCL_OFF ,0,34,2,0,0.001,12,TRUE,TRUE,TRUE,0,0,FALSE
ZACCL_OFF ,0,36,2,0,0.001,12,TRUE,TRUE,TRUE,0,0,FALSE
ALM_MAG1 ,0,38,2,0,1,16,TRUE,TRUE,FALSE,0,0,FALSE
ALM_MAG2 ,0,40,2,0,1,16,TRUE,TRUE,FALSE,0,0,FALSE
ALM_SMPL1 ,0,42,2,0,1,8,TRUE,TRUE,FALSE,0,0,FALSE
ALM_SMPL2 ,0,44,2,0,1,8,TRUE,TRUE,FALSE,0,0,FALSE
ALM_CTRL ,0,46,2,0,1,16,TRUE,TRUE,FALSE,0,0,FALSE
GPIO_CTRL ,0,50,2,0,1,12,TRUE,TRUE,FALSE,0,0,FALSE
MSC_CTRL ,0,52,2,0,1,12,TRUE,TRUE,FALSE,0,6,FALSE
SMPL_PRD ,0,54,2,0,1,13,TRUE,TRUE,FALSE,0,1,FALSE
SENS_AVG ,0,56,2,0,1,11,TRUE,TRUE,FALSE,0,1026,FALSE
DIAG_STAT ,0,60,2,0,1,16,TRUE,FALSE,FALSE,0,none,FALSE
GLOB_CMD ,0,62,1,0,1,8,TRUE,TRUE,FALSE,0,none,FALSE
LOT_ID1 ,0,82,2,0,1,16,TRUE,FALSE,FALSE,1,none,FALSE
LOT_ID2 ,0,84,2,0,1,16,TRUE,FALSE,FALSE,1,none,FALSE
PROD_ID ,0,86,2,0,1,16,TRUE,FALSE,FALSE,1,none,TRUE
SERIAL_NUM ,0,88,2,0,1,16,TRUE,FALSE,FALSE,1,none,TRUE
