Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg
FLASH_CNT,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
SUPPLY_OUT,0,2,2,0,1,12,TRUE,FALSE,FALSE,FALSE,,FALSE
XGYRO_OUT,0,4,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
YGYRO_OUT,0,6,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
ZGYRO_OUT,0,8,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
XACCL_OUT,0,10,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
YACCL_OUT,0,12,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
ZACCL_OUT,0,14,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
XMAGN_OUT,0,16,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
YMAGN_OUT,0,18,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
ZMAGN_OUT,0,20,2,0,1,14,TRUE,FALSE,TRUE,FALSE,,FALSE
TEMP_OUT,0,22,2,0,1,12,TRUE,FALSE,TRUE,FALSE,,FALSE
AUX_ADC,0,24,2,0,1,12,TRUE,FALSE,FALSE,FALSE,,FALSE
XGYRO_OFF,0,26,2,0,1,13,TRUE,TRUE,TRUE,FALSE,,FALSE
YGYRO_OFF,0,28,2,0,1,13,TRUE,TRUE,TRUE,FALSE,,FALSE
ZGYRO_OFF,0,30,2,0,1,13,TRUE,TRUE,TRUE,FALSE,,FALSE
XACCL_OFF,0,32,2,0,1,12,TRUE,TRUE,TRUE,FALSE,,FALSE
YACCL_OFF,0,34,2,0,1,12,TRUE,TRUE,TRUE,FALSE,,FALSE
ZACCL_OFF,0,36,2,0,1,12,TRUE,TRUE,TRUE,FALSE,,FALSE
XMAGN_HIF,0,38,2,0,1,14,TRUE,TRUE,TRUE,FALSE,,FALSE
YMAGN_HIF,0,40,2,0,1,14,TRUE,TRUE,TRUE,FALSE,,FALSE
ZMAGN_HIF,0,42,2,0,1,14,TRUE,TRUE,TRUE,FALSE,,FALSE
XMAGN_SIF,0,44,2,0,1,12,TRUE,TRUE,FALSE,FALSE,,FALSE
YMAGN_SIF,0,46,2,0,1,12,TRUE,TRUE,FALSE,FALSE,,FALSE
ZMAGN_SIF,0,48,2,0,1,12,TRUE,TRUE,FALSE,FALSE,,FALSE
GPIO_CTRL,0,50,2,0,1,12,TRUE,TRUE,FALSE,FALSE,,FALSE
MSC_CTRL,0,52,2,0,1,12,TRUE,TRUE,FALSE,FALSE,,FALSE
SMPL_PRD,0,54,2,0,1,8,TRUE,TRUE,FALSE,FALSE,,FALSE
SENS_AVG,0,56,2,0,1,11,TRUE,TRUE,FALSE,FALSE,,FALSE
SLP_CNT,0,58,1,0,1,8,TRUE,TRUE,FALSE,FALSE,,FALSE
DIAG_STAT,0,60,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
GLOB_CMD,0,62,1,0,1,8,FALSE,TRUE,FALSE,FALSE,,FALSE
ALM_MAG1,0,64,2,0,1,16,TRUE,TRUE,FALSE,FALSE,,FALSE
ALM_MAG2,0,66,2,0,1,16,TRUE,TRUE,FALSE,FALSE,,FALSE
ALM_SMPL1,0,68,2,0,1,8,TRUE,TRUE,FALSE,FALSE,,FALSE
ALM_SMPL2,0,70,2,0,1,8,TRUE,TRUE,FALSE,FALSE,,FALSE
ALM_CTRL,0,72,2,0,1,16,TRUE,TRUE,FALSE,FALSE,,FALSE
AUX_DAC,0,74,2,0,1,12,TRUE,TRUE,FALSE,FALSE,,FALSE
PRODUCT_ID,0,86,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
