Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg,BURSTMODE
FLASH_CNT,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
DIAG_STAT,0,2,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,0
X_GYRO_LOW,0,4,4,0,7.63E-08,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_GYRO_OUT,0,6,2,0,0.005,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,1
Y_GYRO_LOW,0,8,4,0,7.63E-08,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_GYRO_OUT,0,10,2,0,0.005,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,2
Z_GYRO_LOW,0,12,4,0,7.63E-08,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_GYRO_OUT,0,14,2,0,0.005,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,3
X_ACCL_LOW,0,16,4,0,3.82E-09,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_ACCL_OUT,0,18,2,0,0.00025,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,4
Y_ACCL_LOW,0,20,4,0,3.82E-09,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_ACCL_OUT,0,22,2,0,0.00025,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,5
Z_ACCL_LOW,0,24,4,0,3.82E-09,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_ACCL_OUT,0,26,2,0,0.00025,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,6
SMPL_CNTR,0,28,2,0,1,16,TRUE,TRUE,FALSE,FALSE,none,FALSE,7
TEMP_OUT,0,30,2,-25,0.05,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,8
X_DELT_ANG,0,36,2,0,5.00E-03,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,
Y_DELT_ANG,0,38,2,0,5.00E-03,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,
Z_DELT_ANG,0,40,2,0,5.00E-03,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,
X_DELT_VEL,0,42,2,0,2.50E-03,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,
Y_DELT_VEL,0,44,2,0,2.50E-03,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,
Z_DELT_VEL,0,46,2,0,2.50E-03,16,TRUE,TRUE,TRUE,FALSE,none,FALSE,
MSC_CTRL,0,50,2,0,1,16,TRUE,TRUE,FALSE,FALSE,193,FALSE,
SYNC_SCAL,0,52,2,0,1,16,TRUE,TRUE,FALSE,FALSE,32767,FALSE,
DEC_RATE,0,54,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE,
FLTR_CTRL,0,56,2,0,1,16,TRUE,TRUE,FALSE,FALSE,1280,FALSE,
GLOB_CMD,0,62,2,0,1,16,FALSE,TRUE,FALSE,FALSE,none,FALSE,T
XGYRO_OFF,0,64,2,0,0.000625,16,TRUE,TRUE,TRUE,FALSE,0,TRUE,
YGYRO_OFF,0,66,2,0,0.000625,16,TRUE,TRUE,TRUE,FALSE,0,TRUE,
ZGYRO_OFF,0,68,2,0,0.000625,16,TRUE,TRUE,TRUE,FALSE,0,TRUE,
XACCL_OFF,0,70,2,0,0.00003125,16,TRUE,TRUE,TRUE,FALSE,0,TRUE,
YACCL_OFF,0,72,2,0,0.00003125,16,TRUE,TRUE,TRUE,FALSE,0,TRUE,
ZACCL_OFF,0,74,2,0,0.00003125,16,TRUE,FALSE,TRUE,FALSE,0,TRUE,
LOT_ID1,0,82,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
LOT_ID2,0,84,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
PROD_ID,0,86,2,0,1,16,TRUE,FALSE,FALSE,FALSE,16460,FALSE,
SERIAL_NUM,0,88,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
CAL_SGNTR,0,96,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
CAL_CRC,0,98,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
CODE_SGNTR,0,100,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
CODE_CRC,0,102,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
