Label,Page,Addr,NumBytes,ReadLen,RegOffset,RegScale,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,Flashable,CalReg,BURSTMODE,CalScale
PAGE_ID,0,0,2,16,0,1,1,0,0,0,NONE,0,0,,0
DIAG_STAT,0,2,2,16,0,1,1,0,0,0,NONE,0,0,0,0
X_GYRO_LWR,0,4,4,32,0,3.81E-07,1,0,1,0,NONE,0,0,,0
X_GYRO_UPR,0,6,2,16,0,0.025,1,0,1,0,NONE,0,0,1,0
Y_GYRO_LWR,0,8,4,32,0,3.81E-07,1,0,1,0,NONE,0,0,,0
Y_GYRO_UPR,0,10,2,16,0,0.025,1,0,1,0,NONE,0,0,2,0
Z_GYRO_LWR,0,12,4,32,0,3.81E-07,1,0,1,0,NONE,0,0,,0
Z_GYRO_UPR,0,14,2,16,0,0.025,1,0,1,0,NONE,0,0,3,0
X_ACCL_LWR,0,16,4,32,0,1.91E-08,1,0,1,0,NONE,0,0,,0
X_ACCL_UPR,0,18,2,16,0,0.00125,1,0,1,0,NONE,0,0,4,0
Y_ACCL_LWR,0,20,4,32,0,1.91E-08,1,0,1,0,NONE,0,0,,0
Y_ACCL_UPR,0,22,2,16,0,0.00125,1,0,1,0,NONE,0,0,5,0
Z_ACCL_LWR,0,24,4,32,0,1.91E-08,1,0,1,0,NONE,0,0,,0
Z_ACCL_UPR,0,26,2,16,0,0.00125,1,0,1,0,NONE,0,0,6,0
TEMP,0,28,2,16,0,0.1,1,0,1,0,NONE,0,0,7,0
TIME_STAMP_LWR,0,30,4,32,0,1,1,0,0,0,NONE,0,0,8,0
TIME_STAMP_UPR,0,32,2,16,0,1,1,0,0,0,NONE,0,0,,0
DATA_CNTR,0,34,2,16,0,1,1,0,0,0,NONE,0,0,9,0
X_DELTANG_LWR,0,36,4,32,0,3.35E-07,1,0,1,0,NONE,0,0,,0
X_DELTANG_UPR,0,38,2,16,0,0.021972656,1,0,1,0,NONE,0,0,,0
Y_DELTANG_LWR,0,40,4,32,0,3.35E-07,1,0,1,0,NONE,0,0,,0
Y_DELTANG_UPR,0,42,2,16,0,0.021972656,1,0,1,0,NONE,0,0,,0
Z_DELTANG_LWR,0,44,4,32,0,3.35E-07,1,0,1,0,NONE,0,0,,0
Z_DELTANG_UPR,0,46,2,16,0,0.021972656,1,0,1,0,NONE,0,0,,0
X_DELTVEL_LWR,0,48,4,32,0,0.012207031,1,0,1,0,NONE,0,0,,0
X_DELTVEL_UPR,0,50,2,16,0,1.86E-07,1,0,1,0,NONE,0,0,,0
Y_DELTVEL_LWR,0,52,4,32,0,0.012207031,1,0,1,0,NONE,0,0,,0
Y_DELTVEL_UPR,0,54,2,16,0,1.86E-07,1,0,1,0,NONE,0,0,,0
Z_DELTVEL_LWR,0,56,4,32,0,0.012207031,1,0,1,0,NONE,0,0,,0
Z_DELTVEL_UPR,0,58,2,16,0,1.86E-07,1,0,1,0,NONE,0,0,,0
FIFO_CNT,0,60,2,16,0,1,1,0,0,0,NONE,0,0,,0
SPI_CHKSUM,0,62,2,16,0,1,1,0,0,0,NONE,0,0,,0
XG_BIAS_LWR,0,64,4,32,0,1,1,1,1,0,0,1,0,,0
XG_BIAS_UPR,0,66,2,16,0,1,1,1,1,0,0,1,0,,0
YG_BIAS_LWR,0,68,4,32,0,1,1,1,1,0,0,1,0,,0
YG_BIAS_UPR,0,70,2,16,0,1,1,1,1,0,0,1,0,,0
ZG_BIAS_LWR,0,72,4,32,0,1,1,1,1,0,0,1,0,,0
ZG_BIAS_UPR,0,74,2,16,0,1,1,1,1,0,0,1,0,,0
XA_BIAS_LWR,0,76,4,32,0,1,1,1,1,0,0,1,0,,0
XA_BIAS_UPR,0,78,2,16,0,1,1,1,1,0,0,1,0,,0
YA_BIAS_LWR,0,80,4,32,0,1,1,1,1,0,0,1,0,,0
YA_BIAS_UPR,0,82,2,16,0,1,1,1,1,0,0,1,0,,0
ZA_BIAS_LWR,0,84,4,32,0,1,1,1,1,0,0,1,0,,0
ZA_BIAS_UPR,0,86,2,16,0,1,1,1,1,0,0,1,0,,0
FIFO_CTRL,0,90,2,16,0,1,1,1,0,0,0,1,0,,0
FILT_CTRL,0,92,2,16,0,1,1,1,0,0,0,1,0,,0
RNG_MDL,0,94,2,16,0,1,1,1,0,1,7,0,0,,0
MSC_CTRL,0,96,2,16,0,1,1,1,0,0,193,1,0,,0
UP_SCALE,0,98,2,16,0,1,1,1,0,0,2000,1,0,,0
DEC_RATE,0,100,2,16,0,1,1,1,0,0,0,1,0,,0
NULL_CTRL,0,102,2,16,0,1,1,1,0,0,1802,1,0,,0
GLOB_CMD,0,104,2,16,0,1,0,1,0,0,NONE,0,0,T,0
FW_REV,0,108,2,16,0,1,1,0,0,0,NONE,0,0,,0
DAY_MONTH,0,110,2,16,0,1,1,1,0,1,NONE,0,0,,0
YEAR,0,112,2,16,0,1,1,1,0,1,NONE,0,0,,0
PROD_ID,0,114,2,16,0,1,1,1,0,1,NONE,0,0,,0
SERIAL_NUM,0,116,2,16,0,1,1,1,0,1,NONE,0,0,,0
USER_SCR_1,0,118,2,16,0,1,1,1,0,0,0,1,0,,0
USER_SCR_2,0,120,2,16,0,1,1,1,0,0,0,1,0,,0
USER_SCR_3,0,122,2,16,0,1,1,1,0,0,0,1,0,,0
FLSHCNT_LWR,0,124,4,32,0,1,1,0,0,0,NONE,0,0,,0
FLSHCNT_UPR,0,126,2,16,0,1,1,0,0,0,NONE,0,0,,0
