Label(i),BaseAddr(i),EmbMemflag(i),AuxAddr(i),AuxBaseAddr(i),NumBytes(i),RegOffset(i),RegScale(i),ReadLen(i),ReadFlag(i),WriteFlag(i),TwosCompl(i),Hidden(i),ECflag(i),NDflag(i),Default(i),CalReg(i),BURSTMODE
ENDURANCE,0,0,0,0,2,0,1,16,TRUE,FALSE,FALSE,0,FALSE,FALSE,none,FALSE,12
XGYRO_OUT,4,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,1
YGYRO_OUT,6,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,2
ZGYRO_OUT,8,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,3
XACCL_OUT,10,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,4
YACCL_OUT,12,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,5
ZACCL_OUT,14,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,6
XMAGN_OUT,16,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,7
YMAGN_OUT,18,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,8
ZMAGN_OUT,20,0,0,0,2,0,1,16,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,9
BAROM_OUT,22,0,0,0,2,0,1,16,TRUE,FALSE,FALSE,0,FALSE,FALSE,none,FALSE,10
TEMP_OUT,24,0,0,0,2,0,1,12,TRUE,FALSE,TRUE,0,FALSE,FALSE,none,FALSE,11
XGYRO_OFF,26,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
YGYRO_OFF,28,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
ZGYRO_OFF,30,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
XACCL_OFF,32,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
YACCL_OFF,34,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
ZACCL_OFF,36,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
XMAGN_HIF,38,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
YMAGN_HIF,40,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
ZMAGN_HIF,42,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
XMAGN_SIF,44,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
YMAGN_SIF,46,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
ZMAGN_SIF,48,0,0,0,2,0,1,16,TRUE,TRUE,TRUE,0,FALSE,FALSE,none,FALSE,
GPIO_CTRL,50,0,0,0,2,0,1,12,TRUE,TRUE,FALSE,0,FALSE,FALSE,0,FALSE,
MSC_CTRL,52,0,0,0,2,0,1,12,TRUE,TRUE,FALSE,0,FALSE,FALSE,6,FALSE,
SMPL_PRD,54,0,0,0,2,0,1,8,TRUE,TRUE,FALSE,0,FALSE,FALSE,1,FALSE,
