Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg,BurstMode
ENDURANCE,0,0,2,0,1,16,1,FALSE,FALSE,0,none,0,
XGYRO_OUT,0,4,2,0,0.01,16,TRUE,FALSE,TRUE,0,none,0,1
YGYRO_OUT,0,6,2,0,0.01,16,TRUE,FALSE,TRUE,0,none,0,2
ZGYRO_OUT,0,8,2,0,0.01,16,TRUE,FALSE,TRUE,0,none,0,3
XACCL_OUT,0,10,2,0,2.50E-04,16,TRUE,FALSE,TRUE,0,none,0,4
YACCL_OUT,0,12,2,0,2.50E-04,16,TRUE,FALSE,TRUE,0,none,0,5
ZACCL_OUT,0,14,2,0,2.50E-04,16,TRUE,FALSE,TRUE,0,none,0,6
TEMP_OUT,0,24,2,-31,7.39E-02,16,TRUE,FALSE,TRUE,0,none,0,7
XGYRO_OFF,0,26,2,0,0.0025,16,TRUE,TRUE,TRUE,0,none,0,
YGYRO_OFF,0,28,2,0,0.0025,16,TRUE,TRUE,TRUE,0,none,0,
ZGYRO_OFF,0,30,2,0,0.0025,16,TRUE,TRUE,TRUE,0,none,0,
XACCL_OFF,0,32,2,0,2.50E-04,16,TRUE,TRUE,TRUE,0,none,0,
YACCL_OFF,0,34,2,0,2.50E-04,16,TRUE,TRUE,TRUE,0,none,0,
ZACCL_OFF,0,36,2,0,2.50E-04,16,TRUE,TRUE,TRUE,0,none,0,
GPIO_CTRL,0,50,2,0,1,12,TRUE,TRUE,FALSE,0,0,0,
MSC_CTRL,0,52,2,0,1,12,TRUE,TRUE,FALSE,0,6,0,
SMPL_PRD,0,54,2,0,1,13,TRUE,TRUE,FALSE,0,1,0,
SENS_AVG,0,56,2,0,1,11,TRUE,TRUE,FALSE,0,1026,0,
DIAG_STAT,0,60,2,0,1,16,TRUE,FALSE,FALSE,0,none,0,0
GLOB_CMD,0,62,1,0,1,8,FALSE,TRUE,FALSE,0,0,0,T
ALM_MAG1,0,64,2,0,1,16,TRUE,TRUE,FALSE,0,0,0,
ALM_MAG2,0,66,2,0,1,16,TRUE,TRUE,FALSE,0,0,0,
ALM_SMPL1,0,68,2,0,1,8,TRUE,TRUE,FALSE,0,0,0,
ALM_SMPL2,0,70,2,0,1,8,TRUE,TRUE,FALSE,0,0,0,
ALM_CTRL,0,72,2,0,1,16,TRUE,TRUE,FALSE,0,0,0,
LOT_ID1,0,82,2,0,1,16,TRUE,FALSE,FALSE,0,none,0,
LOT_ID2,0,84,2,0,1,16,TRUE,FALSE,FALSE,0,none,0,
PROD_ID,0,86,2,0,1,16,TRUE,TRUE,FALSE,0,none,0,
SERIAL_NUM,0,88,2,0,1,16,TRUE,TRUE,FALSE,0,none,0,
