Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg,BURSTMODE
ENDURANCE,0,0,2,0,1,16,1,0,FALSE,0,none,0,
X_GYRO_OUT,0,4,2,0,0.04,16,TRUE,FALSE,TRUE,0,none,0,1
Y_GYRO_OUT,0,6,2,0,0.04,16,TRUE,FALSE,TRUE,0,none,0,2
Z_GYRO_OUT,0,8,2,0,0.04,16,TRUE,FALSE,TRUE,0,none,0,3
X_ACCL_OUT,0,10,2,0,8.33E-04,16,TRUE,FALSE,TRUE,0,none,0,4
Y_ACCL_OUT,0,12,2,0,8.33E-04,16,TRUE,FALSE,TRUE,0,none,0,5
Z_ACCL_OUT,0,14,2,0,8.33E-04,16,TRUE,FALSE,TRUE,0,none,0,6
X_MAGN_OUT,0,16,2,0,1.43E-01,16,TRUE,FALSE,TRUE,0,none,0,7
Y_MAGN_OUT,0,18,2,0,1.43E-01,16,TRUE,FALSE,TRUE,0,none,0,8
Z_MAGN_OUT,0,20,2,0,1.43E-01,16,TRUE,FALSE,TRUE,0,none,0,9
BAROM_OUT,0,22,2,0,0.02,16,TRUE,FALSE,FALSE,0,none,0,10
TEMP_OUT,0,24,2,-31,7.39E-02,16,TRUE,FALSE,TRUE,0,none,0,11
X_GYRO_OFF,0,26,2,0,0.01,16,TRUE,TRUE,TRUE,0,none,0,
Y_GYRO_OFF,0,28,2,0,0.01,16,TRUE,TRUE,TRUE,0,none,0,
Z_GYRO_OFF,0,30,2,0,0.01,16,TRUE,TRUE,TRUE,0,none,0,
X_ACCL_OFF,0,32,2,0,8.33E-04,16,TRUE,TRUE,TRUE,0,none,0,
Y_ACCL_OFF,0,34,2,0,8.33E-04,16,TRUE,TRUE,TRUE,0,none,0,
Z_ACCL_OFF,0,36,2,0,8.33E-04,16,TRUE,TRUE,TRUE,0,none,0,
X_MAGN_HIF,0,38,2,0,7.69E-05,16,TRUE,TRUE,TRUE,0,none,0,
Y_MAGN_HIF,0,40,2,0,7.69E-05,16,TRUE,TRUE,TRUE,0,none,0,
Z_MAGN_HIF,0,42,2,0,7.69E-05,16,TRUE,TRUE,TRUE,0,none,0,
X_MAGN_SIF,0,44,2,0,0.003051758,16,TRUE,TRUE,TRUE,0,none,0,
Y_MAGN_SIF,0,46,2,0,0.003051758,16,TRUE,TRUE,TRUE,0,none,0,
Z_MAGN_SIF,0,48,2,0,0.003051758,16,TRUE,TRUE,TRUE,0,none,0,
GPIO_CTRL,0,50,2,0,1,16,TRUE,TRUE,FALSE,0,0,0,
MSC_CTRL,0,52,2,0,1,16,TRUE,TRUE,FALSE,0,6,0,
SMPL_PRD,0,54,2,0,1,16,TRUE,TRUE,FALSE,0,1,0,
SENS_AVG,0,56,2,0,1,16,TRUE,TRUE,FALSE,0,1026,0,
CYCLE_CNT,0,58,2,0,1,16,TRUE,FALSE,FALSE,0,none,0,
STATUSREG,0,60,2,0,1,16,TRUE,FALSE,FALSE,0,none,0,0
COMMAND,0,62,1,0,1,16,FALSE,TRUE,FALSE,0,0,0,T
ALM_MAG1,0,64,2,0,1,16,TRUE,TRUE,FALSE,1,0,0,
ALM_MAG2,0,66,2,0,1,16,TRUE,TRUE,FALSE,1,0,0,
ALM_SMPL1,0,68,2,0,1,16,TRUE,TRUE,FALSE,1,0,0,
ALM_SMPL2,0,70,2,0,1,16,TRUE,TRUE,FALSE,1,0,0,
ALM_CTRL,0,72,2,0,1,16,TRUE,TRUE,FALSE,1,0,0,
LOT_ID1,0,82,2,0,1,16,TRUE,FALSE,FALSE,1,none,0,
LOT_ID2,0,84,2,0,1,16,TRUE,FALSE,FALSE,1,none,0,
PROD_ID,0,86,2,0,1,16,TRUE,FALSE,FALSE,1,none,0,
SERIAL_NUM,0,88,2,0,1,16,TRUE,FALSE,FALSE,1,none,0,
SCRATCH_B,0,90,2,0,1,16,TRUE,TRUE,FALSE,1,none,0,
SCRATCH_C,0,92,2,0,1,16,TRUE,TRUE,FALSE,1,none,0,
SCRATCH_D,0,94,2,0,1,16,TRUE,TRUE,FALSE,1,none,0,
