Label,BaseAddr,EmbMemflag,AuxAddr,AuxBaseAddr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Ecflag,Ndflag,Default,CalReg
FLASH_CNT,0,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
X_SENS,2,FALSE,0,0,2,0,0.004768372,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,none,FALSE
Y_SENS,4,FALSE,0,0,2,0,0.004768372,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,none,FALSE
Z_SENS,6,FALSE,0,0,2,0,0.004768372,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,none,FALSE
TEMP_OUT,8,FALSE,0,0,2,625,-0.47,16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,none,FALSE
SUPPLY_OUT,10,FALSE,0,0,2,0,0.001220703,16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,none,FALSE
FFT_AVG1,12,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,264,FALSE
FFT_AVG2,14,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,257,FALSE
BUF_PNTR,16,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
REC_PNTR,18,FALSE,0,0,2,0,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
X_BUF,20,FALSE,0,0,2,0,1,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,none,FALSE
Y_BUF,22,FALSE,0,0,2,0,1,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,none,FALSE
Z_BUF,24,FALSE,0,0,2,0,1,16,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,none,FALSE
REC_CTRL1,26,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4352,FALSE
REC_CTRL2,28,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,255,FALSE
REC_PRD,30,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE
ALM_F_LOW,32,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_F_HIGH,34,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_X_MAG1,36,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Y_MAG1,38,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Z_MAG1,40,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_X_MAG2,42,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Y_MAG2,44,FALSE,0,0,2,0,1,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Z_MAG2,46,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_PNTR,48,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_S_MAG,50,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_CTRL,52,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,128,FALSE
DIO_CTRL,54,FALSE,0,0,1,0,1,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,FALSE
GPIO_CTRL,56,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE
AVG_CNT,58,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,38448,FALSE
DIAG_STAT,60,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
GLOB_CMD,62,FALSE,0,0,2,0,1,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_X_STAT,64,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Y_STAT,66,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Z_STAT,68,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_X_PEAK,70,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Y_PEAK,72,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Z_PEAK,74,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
TIME_STAMP_L,76,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
TIME_STAMP_H,78,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
REV,82,FALSE,0,0,1,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
DAY,83,FALSE,0,0,1,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
MONTH,84,FALSE,0,0,1,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
YEAR,85,FALSE,0,0,1,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
PROD_ID,86,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
SCRATCH_A,88,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
SCRATCH_B,90,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
USER_ID,92,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
REC_FLSH_CNT,94,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
REC_INFO1,110,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_X_FREQ,112,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Y_FREQ,114,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ALM_Z_FREQ,116,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
REC_INFO2,118,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
REC_CNT,120,FALSE,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,FALSE
ST_CAL,122,FALSE,0,0,2,0,1,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,FALSE
