Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg
FLASH_CNT ,0,0,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
SUPPLY_OUT ,0,2,2,0,0.0018315,12,TRUE,FALSE,FALSE,FALSE,,FALSE
GYRO_OUT ,0,4,2,0,0.07326,14,TRUE,FALSE,TRUE,FALSE,,FALSE
AUX_ADC ,0,10,2,0,0.0006105,12,TRUE,FALSE,FALSE,FALSE,,FALSE
TEMP_OUT ,0,12,2,-25,0.1453,12,TRUE,FALSE,TRUE,FALSE,,FALSE
ANGL_OUT ,0,14,2,0,0.03663,14,TRUE,TRUE,TRUE,FALSE,,FALSE
GYRO_OFF ,0,20,2,0,1,16,TRUE,TRUE,TRUE,FALSE,0,FALSE
GYRO_SCALE ,0,22,2,0,0.00048828,16,TRUE,TRUE,TRUE,FALSE,800,FALSE
ALM_MAG1 ,0,32,2,0,1,16,TRUE,TRUE,TRUE,FALSE,0,FALSE
ALM_MAG2 ,0,34,2,0,1,16,TRUE,TRUE,TRUE,FALSE,0,FALSE
ALM_SMPL1 ,0,36,2,0,1,16,TRUE,TRUE,TRUE,FALSE,0,FALSE
ALM_SMPL2 ,0,38,2,0,1,16,TRUE,TRUE,TRUE,FALSE,0,FALSE
ALM_CTRL ,0,40,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
AUX_DAC ,0,48,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
GPIO_CTRL ,0,50,2,0,1,16,TRUE,TRUE,FALSE,FALSE,,FALSE
MSC_CTRL ,0,52,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
SMPL_PRD ,0,54,2,0,1,16,TRUE,TRUE,FALSE,FALSE,1,FALSE
SENS_AVG ,0,56,2,0,1,16,TRUE,TRUE,FALSE,FALSE,402,FALSE
SLP_CNT ,0,58,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE
DIAG_STAT ,0,60,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
GLOB_CMD ,0,62,2,0,1,16,FALSE,TRUE,FALSE,FALSE,,FALSE
LOT_ID1 ,0,82,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
LOT_ID2 ,0,84,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
PROD_ID ,0,86,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
SERIAL_NUM ,0,88,2,0,1,16,TRUE,FALSE,FALSE,FALSE,,FALSE
