Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Hidden,Default,CalReg,BURSTMODE
DIAG_STAT,0,2,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,0
X_GYRO_LOW,0,4,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_GYRO_UPR,0,6,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,1
Y_GYRO_LOW,0,8,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_GYRO_UPR,0,10,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,2
Z_GYRO_LOW,0,12,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_GYRO_UPR,0,14,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,3
X_ACCL_LOW,0,16,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_ACCL_UPR,0,18,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,4
Y_ACCL_LOW,0,20,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_ACCL_UPR,0,22,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,5
Z_ACCL_LOW,0,24,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_ACCL_UPR,0,26,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,6
TEMP_OUT,0,28,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,7
TIME_STAMP,0,30,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,8
BURST_CHKSM,0,28,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,9
DATA_CNTR,0,34,2,0,1,16,TRUE,FALSE,FALSE,FALSE,none,FALSE,
X_DELTANG_LOW,0,36,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_DELTANG_OUT,0,38,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_DELTANG_LOW,0,40,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_DELTANG_UPR,0,42,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_DELTANG_LOW,0,44,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_DELTANG_UPR,0,46,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_DELTVEL_LOW,0,48,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
X_DELTVEL_UPR,0,50,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_DELTVEL_LOW,0,52,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Y_DELTVEL_UPR,0,54,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_DELTVEL_LOW,0,56,4,0,1,32,TRUE,FALSE,TRUE,FALSE,none,FALSE,
Z_DELTVEL_UPR,0,58,2,0,1,16,TRUE,FALSE,TRUE,FALSE,none,FALSE,
XG_BIAS_LOW,0,64,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
XG_BIAS_HIGH,0,66,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
YG_BIAS_LOW,0,68,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
YG_BIAS_HIGH,0,70,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
ZG_BIAS_LOW,0,72,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
ZG_BIAS_HIGH,0,74,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
XA_BIAS_LOW,0,76,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
XA_BIAS_HIGH,0,78,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
YA_BIAS_LOW,0,80,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
YA_BIAS_HIGH,0,82,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
ZA_BIAS_LOW,0,84,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
ZA_BIAS_HIGH,0,86,2,0,1,16,TRUE,TRUE,TRUE,FALSE,none,TRUE,
FILT_CTRL,0,92,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE,
RANG_CTRL,0,94,2,0,1,16,TRUE,TRUE,FALSE,FALSE,none,FALSE,
MSC_CTRL,0,96,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE,
UP_SCALE,0,98,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE,
DEC_RATE,0,100,2,0,1,16,TRUE,TRUE,FALSE,FALSE,0,FALSE,
