Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,CalReg,FLOAT
PAGE_ID,0,0,2,0,1,16,1,1,0,0,,0,FALSE
SEQ_CNT,0,6,2,0,1,16,1,1,0,0,,0,FALSE
SYS_E_FLAG,0,8,2,0,1,16,1,0,0,0,,0,FALSE
DIAG_STS,0,10,2,0,1,16,1,0,0,0,,0,FALSE
ALM_STS,0,12,2,0,1,16,1,0,0,0,,0,FALSE
TEMP_OUT,0,14,2,-25,0.00565,16,1,0,1,0,,0,FALSE
X_GYRO_LOW,0,16,4,0,3.05E-07,32,1,0,1,0,,0,FALSE
X_GYRO_OUT,0,18,2,0,0.02,16,1,0,1,0,,0,FALSE
Y_GYRO_LOW,0,20,4,0,3.05E-07,32,1,0,1,0,,0,FALSE
Y_GYRO_OUT,0,22,2,0,0.02,16,1,0,1,0,,0,FALSE
Z_GYRO_LOW,0,24,4,0,3.05E-07,32,1,0,1,0,,0,FALSE
Z_GYRO_OUT,0,26,2,0,0.02,16,1,0,1,0,,0,FALSE
X_ACCL_LOW,0,28,4,0,1.22E-08,32,1,0,1,0,,0,FALSE
X_ACCL_OUT,0,30,2,0,0.0008,16,1,0,1,0,,0,FALSE
Y_ACCL_LOW,0,32,4,0,1.22E-08,32,1,0,1,0,,0,FALSE
Y_ACCL_OUT,0,34,2,0,0.0008,16,1,0,1,0,,0,FALSE
Z_ACCL_LOW,0,36,4,0,1.22E-08,32,1,0,1,0,,0,FALSE
Z_ACCL_OUT,0,38,2,0,0.0008,16,1,0,1,0,,0,FALSE
X_MAGN_OUT,0,40,2,0,0.1,16,1,0,1,0,,0,FALSE
Y_MAGN_OUT,0,42,2,0,0.1,16,1,0,1,0,,0,FALSE
Z_MAGN_OUT,0,44,2,0,0.1,16,1,0,1,0,,0,FALSE
BAROM_LOW,0,46,4,0,6.10E-07,32,1,0,1,0,,0,FALSE
BAROM_OUT,0,48,2,0,0.04,16,1,0,1,0,,0,FALSE
X_DELTANG_LOW,0,64,4,0,3.35E-07,32,1,0,1,0,,0,FALSE
X_DELTANG_OUT,0,66,2,0,0.021973,16,1,0,1,0,,0,FALSE
Y_DELTANG_LOW,0,68,4,0,3.35E-07,32,1,0,1,0,,0,FALSE
Y_DELTANG_OUT,0,70,2,0,0.021973,16,1,0,1,0,,0,FALSE
Z_DELTANG_LOW,0,72,4,0,3.35E-07,32,1,0,1,0,,0,FALSE
Z_DELTANG_OUT,0,74,2,0,0.021973,16,1,0,1,0,,0,FALSE
X_DELTVEL_LOW,0,76,4,0,9.31E-08,32,1,0,1,0,,0,FALSE
X_DELTVEL_OUT,0,78,2,0,0.006104,16,1,0,1,0,,0,FALSE
Y_DELTVEL_LOW,0,80,4,0,9.31E-08,32,1,0,1,0,,0,FALSE
Y_DELTVEL_OUT,0,82,2,0,0.006104,16,1,0,1,0,,0,FALSE
Z_DELTVEL_LOW,0,84,4,0,9.31E-08,32,1,0,1,0,,0,FALSE
Z_DELTVEL_OUT,0,86,2,0,0.006104,16,1,0,1,0,,0,FALSE
TIME_MS_OUT,0,120,2,0,1,16,1,1,0,0,,0,FALSE
TIME_DH_OUT,0,122,2,0,1,16,1,1,0,0,,0,FALSE
TIME_YM_OUT,0,124,2,0,1,16,1,1,0,0,,0,FALSE
PROD_ID,0,126,2,0,1,16,1,0,0,1,,0,FALSE
PAGE_ID,2,0,2,0,1,16,1,1,0,0,,0,FALSE
X_GYRO_SCALE,2,4,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Y_GYRO_SCALE,2,6,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Z_GYRO_SCALE,2,8,2,0,0.003052,16,1,1,1,0,0,0,FALSE
X_ACCL_SCALE,2,10,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Y_ACCL_SCALE,2,12,2,0,0.003052,16,1,1,1,0,0,0,FALSE
Z_ACCL_SCALE,2,14,2,0,0.003052,16,1,1,1,0,0,0,FALSE
XG_BIAS_LOW,2,16,4,0,3.05E-07,32,1,1,1,0,0,0,FALSE
XG_BIAS_HIGH,2,18,2,0,0.02,16,1,1,1,0,0,0,FALSE
YG_BIAS_LOW,2,20,4,0,3.05E-07,32,1,1,1,0,0,0,FALSE
YG_BIAS_HIGH,2,22,2,0,0.02,16,1,1,1,0,0,0,FALSE
ZG_BIAS_LOW,2,24,4,0,3.05E-07,32,1,1,1,0,0,0,FALSE
ZG_BIAS_HIGH,2,26,2,0,0.02,16,1,1,1,0,0,0,FALSE
XA_BIAS_LOW,2,28,4,0,1.22E-08,32,1,1,1,0,,0,FALSE
XA_BIAS_HIGH,2,30,2,0,0.0008,16,1,1,1,0,,0,FALSE
YA_BIAS_LOW,2,32,4,0,1.22E-08,32,1,1,1,0,,0,FALSE
YA_BIAS_HIGH,2,34,2,0,0.0008,16,1,1,1,0,,0,FALSE
ZA_BIAS_LOW,2,36,4,0,1.22E-08,32,1,1,1,0,,0,FALSE
ZA_BIAS_HIGH,2,38,2,0,0.0008,16,1,1,1,0,,0,FALSE
HARD_IRON_X,2,40,2,0,0.0001,16,1,1,1,0,,0,FALSE
HARD_IRON_Y,2,42,2,0,0.0001,16,1,1,1,0,,0,FALSE
HARD_IRON_Z,2,44,2,0,0.0001,16,1,1,1,0,,0,FALSE
SOFT_IRON_S11,2,46,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S12,2,48,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S13,2,50,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S21,2,52,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S22,2,54,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S23,2,56,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S31,2,58,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S32,2,60,2,0,1,16,1,1,1,0,,0,FALSE
SOFT_IRON_S33,2,62,2,0,1,16,1,1,1,0,,0,FALSE
BR_BIAS_LOW,2,64,4,0,6.10E-07,32,1,1,1,0,,0,FALSE
BR_BIAS_HIGH,2,66,2,0,0.04,16,1,1,1,0,,0,FALSE
USER_SCR_1,2,116,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_2,2,118,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_3,2,120,2,0,1,16,1,1,0,0,,0,FALSE
USER_SCR_4,2,122,2,0,1,16,1,1,0,0,,0,FALSE
FLSHCNT_LOW,2,124,2,0,1,16,1,0,0,0,,0,FALSE
FLSHCNT_HIGH,2,126,2,0,1,16,1,0,0,0,,0,FALSE
PAGE_ID,3,0,2,0,1,16,1,1,0,0,,0,FALSE
GLOB_CMD,3,2,2,0,1,16,0,1,0,0,,0,FALSE
FNCTIO_CTRL,3,6,2,0,1,16,1,1,0,0,0,0,FALSE
GPIO_CTRL,3,8,2,0,1,16,1,1,0,0,,0,FALSE
CONFIG,3,10,2,0,1,16,1,1,0,0,195,0,FALSE
DEC_RATE,3,12,2,0,1,16,1,1,0,0,0,0,FALSE
NULL_CNFG,3,14,2,0,1,16,1,1,0,0,0,0,FALSE
