Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,BURSTMODE,ReadProtected,WriteProtected,CalReg
PAGE_ID,0,0,4,0,1,32,1,1,0,NONE,,FALSE,FALSE,FALSE
BURST_RD,0,10,4,0,1,32,0,0,0,NONE,T,FALSE,FALSE,FALSE
DATA_CNT,0,12,4,0,1,32,1,0,0,NONE,0,FALSE,FALSE,FALSE
STATUS,0,14,4,0,1,32,1,0,0,NONE,1,FALSE,FALSE,FALSE
TEMP,0,16,2,-25,0.004,16,1,0,1,NONE,2,FALSE,FALSE,FALSE
TEMP_STATUS,0,17,2,0,1,16,1,0,0,NONE,,FALSE,FALSE,FALSE
X_GYRO,0,18,4,0,1.91E-07,32,1,0,1,NONE,3,FALSE,FALSE,FALSE
Y_GYRO,0,20,4,0,1.91E-07,32,1,0,1,NONE,4,FALSE,FALSE,FALSE
Z_GYRO,0,22,4,0,1.91E-07,32,1,0,1,NONE,5,FALSE,FALSE,FALSE
X_ACCL,0,24,4,0,9.77E-09,32,1,0,1,NONE,6,FALSE,FALSE,FALSE
Y_ACCL,0,26,4,0,9.77E-09,32,1,0,1,NONE,7,FALSE,FALSE,FALSE
Z_ACCL,0,28,4,0,9.77E-09,32,1,0,1,NONE,8,FALSE,FALSE,FALSE
X_DELTANG,0,30,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Y_DELTANG,0,32,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Z_DELTANG,0,34,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
X_DELTVEL,0,36,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Y_DELTVEL,0,38,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
Z_DELTVEL,0,40,4,0,1,32,1,0,1,NONE,,FALSE,FALSE,FALSE
TIMESTAMP,0,42,4,0,1,32,1,0,0,NONE,9,FALSE,FALSE,FALSE
XG_SCALE,0,48,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
YG_SCALE,0,50,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
ZG_SCALE,0,52,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
XA_SCALE,0,54,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
YA_SCALE,0,56,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
ZA_SCALE,0,58,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
XG_BIAS,0,64,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
YG_BIAS,0,66,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
ZG_BIAS,0,68,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
XA_BIAS,0,70,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
YA_BIAS,0,72,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
ZA_BIAS,0,74,4,0,1,32,1,1,1,0,,FALSE,FALSE,FALSE
COMMAND,0,80,4,0,1,32,0,1,0,NONE,,FALSE,FALSE,FALSE
CONFIG,0,82,4,0,1,32,1,1,0,0,,FALSE,FALSE,FALSE
DECIMATE,0,84,4,0,1,32,1,1,0,0,,FALSE,FALSE,FALSE
SYNC_SCALE,0,86,4,0,1,32,1,1,0,4000,,FALSE,FALSE,FALSE
USER_SCR1,0,96,4,0,1,32,1,1,0,0,,FALSE,FALSE,FALSE
USER_SCR2,0,98,4,0,1,32,1,1,0,0,,FALSE,FALSE,FALSE
USER_SCR3,0,100,4,0,1,32,1,1,0,0,,FALSE,FALSE,FALSE
USER_SCR4,0,102,4,0,1,32,1,1,0,0,,FALSE,FALSE,FALSE
CAL_SIGTR_1,0,106,4,0,1,32,1,0,0,NONE,,FALSE,FALSE,FALSE
CAL_DRVTN,0,108,4,0,1,32,1,0,0,NONE,,FALSE,FALSE,FALSE
CODE_SIGTR,0,110,4,0,1,32,1,0,0,NONE,,FALSE,FALSE,FALSE
CODE_DRVTN,0,112,4,0,1,32,1,0,0,NONE,,FALSE,FALSE,FALSE
