Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,BURSTMODE,ReadProtected,WriteProtected,CalReg
ADI_ID,0,0,1,0,1,8,1,1,0,173,,FALSE,FALSE,FALSE
MEMS_ID,0,1,1,0,1,8,1,1,0,29,,FALSE,FALSE,FALSE
DEV_ID,0,2,1,0,1,8,1,1,0,146,,FALSE,FALSE,FALSE
REV_ID,0,3,1,0,1,8,1,1,0,9,,FALSE,FALSE,FALSE
SN0,0,4,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
SN1,0,5,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
SN2,0,6,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
SN3,0,7,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
DATAX0,0,8,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
DATAX1,0,9,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
DATAY0,0,10,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
DATAY1,0,11,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
TEMP0,0,12,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
TEMP1,0,13,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
POWER_CTL,0,16,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
FILTER,0,17,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
DATA_READY,0,18,1,0,1,8,1,1,0,NONE,,FALSE,FALSE,FALSE
