DISPLAYNAME,PARENT,REGMAP,SENSORTYPE,PARTTYPE,SPIMODE,SPIFREQ,SPISTALL,DRDIONUMBER,DRPOLARITY,SUPPLY,VDDIO,ADDRPOS,DATAPOS,WRITEBITPOS,WRITEBITPOLARITY,ISLOWERFIRST,SOFTRESETBIT,FLASHUPDATEBIT
ADIS1655x,,ADIS1655x_RegMap.csv,AutomotiveSpi,IMU,3,10000000,5,1,TRUE,On5_0Volts,3.3,0,0,0,TRUE,TRUE,7,3
ADIS16550,ADIS1655x,ADIS16550_RegMap.csv,AutomotiveSpi,IMU,3,10000000,5,1,TRUE,On5_0Volts,3.3,0,0,0,TRUE,TRUE,7,3
ADIS1657x,,ADIS1657x_Regmap.csv,IMU,IMU,3,10000000,5,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16575-2,ADIS1657x,ADIS16575_2_Regmap.csv,IMU,IMU,3,10000000,5,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16576-2,ADIS1657x,ADIS16576_2_Regmap.csv,IMU,IMU,3,10000000,5,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16576-3,ADIS1657x,ADIS16576_3_Regmap.csv,IMU,IMU,3,10000000,5,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16577-2,ADIS1657x,ADIS16577_2_Regmap.csv,IMU,IMU,3,10000000,5,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16577-3,ADIS1657x,ADIS16577_3_Regmap.csv,IMU,IMU,3,10000000,5,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS1654x,,ADIS1654x_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16545-1,ADIS1654x,ADIS16545_1_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16545-2,ADIS1654x,ADIS16545_2_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16545-3,ADIS1654x,ADIS16545_3_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16547-1,ADIS1654x,ADIS16547_1_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16547-2,ADIS1654x,ADIS16547_2_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16547-3,ADIS1654x,ADIS16547_3_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS1650x,,ADIS1650x_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16500,ADIS1650x,ADIS16507_3_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16501-2,ADIS1650x,ADIS16501_2_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16505-1,ADIS1650x,ADIS16505_1_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16505-2,ADIS1650x,ADIS16505_2_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16505-3,ADIS1650x,ADIS16505_3_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16507-1,ADIS1650x,ADIS16507_1_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16507-2,ADIS1650x,ADIS16507_2_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16507-3,ADIS1650x,ADIS16507_3_RegMap.csv,IMU,IMU,3,1000000,16,1,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS1649x,,ADIS1649x_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16490,ADIS1649x,ADIS16490_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
ADIS16495-1,ADIS1649x,ADIS16495_1_RegMap.csv,IMU,IMU,3,4000000,5,2,TRUE,On3_3Volts,3.3,8,0,15,TRUE,TRUE,7,3
